question#annotated
create a relplot using -data setting ~x : -column and ~y : -column#create a relplot using -data setting [param | ~x : -column] and [param | ~y : -column]
create a relplot utilising -data setting ~x to -column , ~y to -column#create a relplot utilising -data setting [param | ~x to -column] , [param | ~y to -column]
create a relplot utilising -data setting ~x -column , ~y -column#create a relplot utilising -data setting [param | ~x -column] , [param | ~y -column]
create a relplot utilising -data setting -column as ~x , -column : ~y#create a relplot utilising -data setting [param | ~x -column] , [param | ~y -column]
create a relplot using -data setting ~x : -column ~y : -column#create a relplot using -data setting [param | ~x : -column] [param | ~y : -column]
create a relplot using -data setting -column as ~x and -column as ~x#create a relplot using -data setting [param | -column as ~x] and [param | -column as ~x]
create a relplot using -data setting -column as ~y and -column as ~y#create a relplot using -data setting [param | -column as ~y] and [param | -column as ~y]
create a relplot using -data setting -column : ~x and -column : ~x#create a relplot using -data setting [param | -column : ~x] and [param | -column : ~x]
create a relplot using -data setting -column : ~y and -column : ~y#create a relplot using -data setting [param | -column : ~y] and [param | -column : ~y]
create a relplot using -data setting -column : ~x and -column : ~x for each -column and each -column#create a relplot using -data setting [param | -column : ~x] and [param | -column : ~x] [column | for each -column] [column | and each -column]
