iter	Passed	Remaining
0	84	84202
1	104	52381
2	142	47501
3	185	46282
4	221	44137
5	255	42270
6	282	40010
7	308	38304
8	334	36883
9	362	35865
10	387	34875
11	418	34428
12	444	33759
13	471	33224
14	501	32899
15	530	32595
16	555	32139
17	582	31778
18	608	31408
19	634	31113
20	661	30840
21	688	30625
22	715	30392
23	740	30128
24	766	29907
25	793	29721
26	824	29701
27	852	29592
28	880	29471
29	907	29334
30	934	29209
31	960	29069
32	988	28956
33	1013	28782
34	1040	28677
35	1067	28576
36	1092	28431
37	1119	28342
38	1148	28306
39	1174	28184
40	1201	28096
41	1226	27978
42	1253	27889
43	1279	27805
44	1310	27809
45	1330	27588
46	1406	28517
47	1609	31930
48	1635	31740
49	1659	31529
50	1684	31337
51	1706	31110
52	1759	31442
53	1796	31480
54	1825	31368
55	1852	31219
56	1878	31073
57	1906	30958
58	1932	30820
59	1957	30673
60	1981	30502
61	2008	30382
62	2031	30217
63	2056	30077
64	2082	29962
65	2107	29824
66	2135	29732
67	2159	29593
68	2183	29463
69	2207	29323
70	2231	29199
71	2253	29044
72	2278	28935
73	2303	28821
74	2330	28748
75	2356	28651
76	2382	28563
77	2408	28467
78	2434	28377
79	2460	28299
80	2486	28210
81	2519	28203
82	2546	28131
83	2572	28055
84	2599	27978
85	2625	27898
86	2651	27825
87	2678	27761
88	2705	27692
89	2731	27615
90	2757	27540
91	2781	27456
92	2807	27376
93	2832	27296
94	2856	27211
95	2880	27126
96	2906	27058
97	2932	26987
98	2957	26919
99	2983	26852
100	3008	26774
101	3034	26712
102	3060	26655
103	3085	26581
104	3111	26523
105	3139	26474
106	3163	26400
107	3185	26310
108	3211	26248
109	3235	26176
110	3261	26120
111	3286	26056
112	3310	25983
113	3334	25912
114	3359	25855
115	3384	25790
116	3408	25724
117	3433	25663
118	3459	25614
119	3486	25565
120	3511	25507
121	3535	25447
122	3561	25390
123	3588	25353
124	3613	25292
125	3639	25246
126	3665	25194
127	3691	25147
128	3717	25103
129	3742	25047
130	3767	24988
131	3793	24942
132	3817	24887
133	3843	24842
134	3869	24793
135	3894	24743
136	3920	24696
137	3945	24643
138	3971	24598
139	3995	24544
140	4021	24500
141	4047	24456
142	4072	24409
143	4098	24365
144	4126	24333
145	4152	24288
146	4177	24243
147	4201	24188
148	4226	24137
149	4252	24094
150	4279	24060
151	4302	24004
152	4328	23959
153	4352	23907
154	4377	23866
155	4402	23820
156	4426	23768
157	4452	23730
158	4480	23699
159	4507	23666
160	4535	23634
161	4562	23603
162	4590	23570
163	4617	23540
164	4646	23516
165	4676	23494
166	4704	23464
167	4733	23444
168	4761	23411
169	4788	23379
170	4816	23347
171	4843	23315
172	4869	23277
173	4896	23245
174	4922	23206
175	4949	23173
176	4977	23142
177	5004	23109
178	5031	23076
179	5059	23046
180	5085	23012
181	5113	22982
182	5143	22964
183	5171	22932
184	5198	22899
185	5224	22864
186	5250	22825
187	5276	22789
188	5304	22760
189	5331	22728
190	5359	22699
191	5386	22667
192	5413	22635
193	5442	22609
194	5468	22575
195	5495	22544
196	5523	22516
197	5549	22479
198	5576	22446
199	5604	22418
200	5631	22384
201	5656	22347
202	5682	22309
203	5709	22278
204	5737	22249
205	5762	22211
206	5791	22185
207	5817	22151
208	5843	22113
209	5871	22089
210	5898	22057
211	5925	22023
212	5953	21995
213	5981	21968
214	6008	21938
215	6038	21916
216	6066	21889
217	6094	21862
218	6125	21845
219	6153	21815
220	6180	21784
221	6207	21755
222	6235	21725
223	6264	21703
224	6292	21672
225	6320	21644
226	6347	21614
227	6375	21585
228	6404	21561
229	6432	21534
230	6457	21497
231	6485	21469
232	6512	21437
233	6538	21402
234	6565	21372
235	6590	21334
236	6619	21311
237	6647	21283
238	6673	21248
239	6699	21214
240	6724	21178
241	6749	21140
242	6775	21106
243	6801	21074
244	6830	21048
245	6854	21008
246	6879	20973
247	6903	20934
248	6930	20901
249	6954	20862
250	6979	20827
251	7002	20786
252	7027	20750
253	7053	20714
254	7075	20672
255	7099	20632
256	7125	20600
257	7149	20561
258	7172	20521
259	7199	20489
260	7225	20458
261	7247	20415
262	7272	20379
263	7294	20335
264	7315	20290
265	7339	20253
266	7364	20217
267	7388	20181
268	7412	20144
269	7438	20111
270	7462	20075
271	7486	20038
272	7512	20006
273	7538	19975
274	7564	19941
275	7588	19907
276	7615	19876
277	7641	19845
278	7668	19817
279	7696	19790
280	7724	19765
281	7752	19738
282	7777	19704
283	7804	19675
284	7831	19647
285	7859	19622
286	7884	19586
287	7907	19549
288	7931	19513
289	7957	19481
290	7982	19448
291	8008	19417
292	8033	19385
293	8059	19354
294	8091	19336
295	8120	19313
296	8146	19283
297	8171	19249
298	8198	19220
299	8220	19180
300	8246	19150
301	8269	19113
302	8293	19076
303	8317	19043
304	8344	19014
305	8368	18978
306	8390	18940
307	8414	18904
308	8440	18873
309	8464	18839
310	8489	18808
311	8513	18773
312	8536	18737
313	8562	18707
314	8588	18677
315	8615	18648
316	8642	18621
317	8672	18600
318	8698	18569
319	8724	18538
320	8750	18508
321	8775	18477
322	8799	18444
323	8825	18413
324	8847	18375
325	8870	18340
326	8898	18314
327	8925	18285
328	8951	18256
329	8976	18225
330	9002	18195
331	9028	18165
332	9052	18132
333	9077	18100
334	9101	18068
335	9128	18039
336	9152	18007
337	9177	17974
338	9203	17944
339	9229	17916
340	9255	17887
341	9281	17857
342	9308	17829
343	9333	17799
344	9359	17769
345	9385	17740
346	9415	17718
347	9443	17692
348	9472	17669
349	9499	17642
350	9527	17616
351	9553	17587
352	9577	17554
353	9603	17524
354	9627	17491
355	9652	17461
356	9682	17439
357	9710	17413
358	9737	17386
359	9764	17358
360	9791	17331
361	9818	17303
362	9842	17271
363	9889	17280
364	9935	17285
365	9970	17271
366	9997	17244
367	10022	17211
368	10058	17200
369	10101	17200
370	10136	17185
371	10164	17159
372	10200	17147
373	10229	17121
374	10257	17095
375	10295	17085
376	10328	17068
377	10353	17036
378	10378	17005
379	10403	16973
380	10427	16940
381	10451	16908
382	10481	16886
383	10507	16855
384	10532	16824
385	10557	16793
386	10584	16766
387	10615	16743
388	10640	16713
389	10666	16683
390	10691	16652
391	10720	16627
392	10746	16598
393	10774	16572
394	10802	16545
395	10829	16518
396	10858	16493
397	10889	16470
398	10922	16452
399	10957	16436
400	10984	16408
401	11011	16380
402	11039	16353
403	11067	16327
404	11095	16300
405	11122	16273
406	11152	16248
407	11179	16221
408	11206	16193
409	11233	16165
410	11261	16138
411	11288	16110
412	11317	16085
413	11343	16056
414	11370	16028
415	11397	16000
416	11424	15972
417	11453	15947
418	11481	15919
419	11510	15895
420	11537	15867
421	11564	15839
422	11599	15822
423	11632	15803
424	11664	15781
425	11692	15754
426	11719	15727
427	11747	15700
428	11776	15675
429	11805	15649
430	11835	15624
431	11862	15596
432	11888	15567
433	11916	15541
434	11943	15513
435	11970	15485
436	11996	15455
437	12023	15426
438	12048	15397
439	12076	15370
440	12106	15345
441	12132	15317
442	12166	15297
443	12209	15288
444	12244	15271
445	12281	15255
446	12314	15234
447	12349	15215
448	12391	15206
449	12420	15180
450	12468	15177
451	12495	15148
452	12522	15121
453	12549	15092
454	12577	15064
455	12603	15035
456	12629	15006
457	12656	14977
458	12684	14950
459	12709	14920
460	12737	14892
461	12771	14872
462	12806	14853
463	12835	14827
464	12861	14798
465	12891	14773
466	12916	14741
467	12941	14711
468	12966	14680
469	12991	14650
470	13015	14618
471	13040	14587
472	13066	14558
473	13092	14528
474	13119	14500
475	13145	14470
476	13171	14441
477	13196	14410
478	13221	14380
479	13246	14350
480	13272	14320
481	13297	14290
482	13322	14260
483	13349	14232
484	13374	14202
485	13399	14171
486	13423	14140
487	13449	14110
488	13475	14081
489	13500	14051
490	13526	14021
491	13553	13994
492	13578	13963
493	13601	13932
494	13626	13901
495	13651	13871
496	13677	13842
497	13703	13813
498	13728	13783
499	13754	13754
500	13779	13724
501	13803	13693
502	13827	13662
503	13852	13632
504	13877	13603
505	13904	13574
506	13929	13545
507	13957	13517
508	13983	13489
509	14009	13460
510	14049	13444
511	14079	13419
512	14106	13391
513	14133	13363
514	14158	13333
515	14184	13304
516	14210	13275
517	14235	13246
518	14263	13218
519	14287	13188
520	14312	13158
521	14337	13128
522	14364	13100
523	14389	13071
524	14414	13041
