iter	Passed	Remaining
0	80	79984
1	100	50189
2	120	39976
3	139	34686
4	158	31490
5	177	29476
6	196	27910
7	215	26734
8	234	25875
9	253	25124
10	272	24539
11	292	24060
12	310	23609
13	329	23224
14	348	22893
15	367	22592
16	385	22308
17	404	22085
18	423	21859
19	442	21666
20	461	21506
21	480	21354
22	487	20692
23	505	20544
24	523	20430
25	542	20321
26	553	19934
27	571	19841
28	590	19775
29	609	19705
30	627	19629
31	646	19549
32	665	19492
33	683	19433
34	704	19417
35	726	19448
36	752	19581
37	773	19572
38	791	19510
39	811	19464
40	829	19410
41	848	19346
42	866	19285
43	885	19231
44	904	19186
45	923	19150
46	942	19118
47	961	19079
48	980	19038
49	1000	19006
50	1019	18968
51	1038	18930
52	1057	18899
53	1076	18861
54	1101	18931
55	1121	18911
56	1144	18934
57	1165	18935
58	1186	18919
59	1213	19016
60	1238	19058
61	1262	19093
62	1290	19196
63	1320	19305
64	1342	19316
65	1365	19316
66	1383	19269
67	1402	19221
68	1420	19170
69	1439	19126
70	1467	19207
71	1489	19203
72	1508	19151
73	1527	19111
74	1547	19084
75	1566	19041
76	1585	19001
77	1603	18953
78	1621	18908
79	1640	18863
80	1658	18818
81	1677	18781
82	1695	18737
83	1714	18691
84	1732	18653
85	1750	18604
86	1768	18558
87	1786	18514
88	1804	18474
89	1823	18437
90	1842	18409
91	1861	18373
92	1880	18338
93	1898	18299
94	1916	18261
95	1935	18228
96	1955	18201
97	1974	18172
98	1994	18153
99	2013	18123
100	2032	18091
101	2051	18062
102	2070	18030
103	2089	18003
104	2109	17977
105	2129	17961
106	2151	17954
107	2170	17928
108	2189	17894
109	2207	17861
110	2226	17829
111	2244	17796
112	2263	17765
113	2282	17736
114	2300	17705
115	2319	17675
116	2338	17645
117	2356	17612
118	2375	17583
119	2394	17560
120	2413	17529
121	2432	17505
122	2451	17478
123	2470	17450
124	2489	17423
125	2508	17398
126	2527	17373
127	2546	17346
128	2565	17319
129	2584	17293
130	2602	17263
131	2620	17232
132	2638	17202
133	2657	17173
134	2676	17147
135	2693	17114
136	2711	17081
137	2730	17055
138	2749	17030
139	2768	17004
140	2786	16975
141	2805	16949
142	2823	16921
143	2842	16895
144	2860	16868
145	2879	16840
146	2897	16814
147	2916	16790
148	2935	16767
149	2954	16743
150	2973	16720
151	2992	16693
152	3010	16664
153	3028	16636
154	3047	16611
155	3065	16587
156	3084	16563
157	3103	16537
158	3121	16510
159	3140	16486
160	3159	16464
161	3177	16437
162	3195	16411
163	3214	16384
164	3233	16361
165	3251	16335
166	3270	16311
167	3288	16286
168	3307	16263
169	3326	16241
170	3344	16215
171	3362	16188
172	3380	16162
173	3399	16138
174	3418	16116
175	3438	16096
176	3458	16079
177	3477	16061
178	3498	16043
179	3516	16018
180	3535	15998
181	3554	15975
182	3573	15951
183	3591	15926
184	3610	15904
185	3629	15883
186	3647	15858
187	3666	15836
188	3685	15812
189	3703	15789
190	3722	15767
191	3741	15746
192	3760	15724
193	3779	15701
194	3798	15678
195	3816	15657
196	3835	15635
197	3854	15614
198	3874	15593
199	3893	15572
200	3912	15551
201	3931	15529
202	3950	15510
203	3969	15488
204	3990	15473
205	4008	15451
206	4027	15429
207	4046	15406
208	4064	15383
209	4082	15359
210	4101	15337
211	4119	15313
212	4138	15291
213	4156	15268
214	4175	15244
215	4193	15220
216	4213	15201
217	4231	15179
218	4249	15155
219	4268	15134
220	4287	15112
221	4305	15089
222	4324	15067
223	4343	15045
224	4361	15022
225	4379	14999
226	4398	14978
227	4416	14954
228	4435	14932
229	4453	14910
230	4472	14888
231	4491	14867
232	4509	14845
233	4528	14823
234	4547	14803
235	4566	14781
236	4584	14760
237	4603	14738
238	4621	14716
239	4640	14694
240	4658	14672
241	4677	14649
242	4695	14627
243	4713	14605
244	4731	14581
245	4750	14560
246	4768	14537
247	4786	14515
248	4805	14492
249	4823	14470
250	4841	14448
251	4860	14427
252	4879	14406
253	4897	14384
254	4915	14361
255	4934	14340
256	4953	14320
257	4972	14299
258	4991	14280
259	5009	14257
260	5027	14236
261	5046	14214
262	5064	14192
263	5083	14171
264	5101	14148
265	5119	14126
266	5138	14106
267	5156	14084
268	5175	14063
269	5193	14041
270	5212	14021
271	5231	14000
272	5250	13981
273	5268	13960
274	5287	13939
275	5305	13917
276	5325	13899
277	5343	13878
278	5362	13857
279	5381	13836
280	5399	13816
281	5418	13795
282	5436	13774
283	5455	13752
284	5473	13732
285	5492	13711
286	5510	13690
287	5528	13668
288	5547	13648
289	5565	13627
290	5584	13606
291	5603	13587
292	5622	13566
293	5641	13546
294	5660	13526
295	5678	13505
296	5697	13485
297	5715	13463
298	5733	13443
299	5752	13421
300	5770	13401
301	5789	13380
